@relation KNN_Emotion_train

@attribute class {bot,human}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric

@data
bot,0.396173,0.239333,0.193947,0.094241,0.076307
bot,0.549459,0.306419,0.049466,0.049344,0.045311
bot,0.89378,0.039577,0.035222,0.018192,0.013229
bot,0.277524,0.239357,0.190519,0.166935,0.125664
bot,0.443367,0.19043,0.187335,0.09218,0.086688
bot,0.432402,0.233339,0.219013,0.100713,0.014533
bot,0.32682,0.261656,0.183609,0.12995,0.097965
bot,0.356104,0.304028,0.166497,0.148676,0.024695
bot,0.49934,0.350811,0.09439,0.030736,0.024723
bot,0.384003,0.365404,0.236648,0.00929,0.004655
bot,0.371682,0.200068,0.187275,0.163254,0.077722
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.709727,0.159448,0.094064,0.025417,0.011344
bot,0.376528,0.24361,0.152467,0.115234,0.112161
bot,0.557272,0.22607,0.099377,0.082905,0.034377
bot,0.433993,0.254033,0.204058,0.098228,0.009687
bot,0.581661,0.199527,0.159981,0.036438,0.022394
bot,0.418015,0.242487,0.182713,0.129202,0.027583
bot,0.465144,0.236388,0.182152,0.060507,0.055809
bot,0.371682,0.200068,0.187275,0.163254,0.077722
bot,0.282531,0.21716,0.192946,0.164956,0.142407
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.340942,0.229854,0.213781,0.155711,0.059713
bot,0.756636,0.118511,0.093782,0.024988,0.006082
bot,0.412508,0.372084,0.145274,0.055022,0.015112
bot,0.656525,0.281854,0.024632,0.021678,0.015311
bot,0.372321,0.2658,0.151501,0.111016,0.099362
bot,0.40761,0.223532,0.208073,0.086293,0.074492
bot,0.353259,0.314563,0.148485,0.094241,0.089452
bot,0.437837,0.265428,0.173636,0.089885,0.033214
bot,0.420626,0.240416,0.180146,0.084626,0.074187
bot,0.374969,0.237432,0.144318,0.12961,0.11367
bot,0.675967,0.131994,0.106557,0.046611,0.038872
bot,0.282531,0.21716,0.192946,0.164956,0.142407
bot,0.351405,0.338259,0.188235,0.065847,0.056253
bot,0.336531,0.234109,0.213767,0.150349,0.065245
bot,0.540061,0.164089,0.148369,0.129864,0.017617
bot,0.491592,0.186063,0.162008,0.103309,0.057028
